# v_mps,ax_max_mps2,ay1_max_mps2,ay2_max_mps2,axb_max_mps2
10,9.751,14.6998903,14.6998903,9.751
11,9.8196,14.69886857,14.69886857,9.8196
12,9.8882,14.71838473,14.71838473,9.8882
13,9.9666,14.75753596,14.75753596,9.9666
14,10.0548,14.81541945,14.81541945,10.0548
15,10.143,14.89113239,14.89113239,10.143
16,10.241,14.98377196,14.98377196,10.241
17,10.339,15.09243537,15.09243537,10.339
18,10.4468,15.21621978,15.21621978,10.4468
19,10.5644,15.3542224,15.3542224,10.5644
20,10.682,15.5055404,15.5055404,10.682
21,10.8094,15.66927098,15.66927098,10.8094
22,10.9368,15.84451132,15.84451132,10.9368
23,11.074,16.03035862,16.03035862,11.074
24,11.2112,16.22591005,16.22591005,11.2112
25,11.3582,16.43026281,16.43026281,11.3582
26,11.515,16.64251409,16.64251409,11.515
27,11.6718,16.86176107,16.86176107,11.6718
28,11.8384,17.08710094,17.08710094,11.8384
29,12.005,17.31763089,17.31763089,11.90909091
30,12.1814,17.5524481,17.5524481,12
31,12.3578,17.79064977,17.79064977,12.09090909
32,12.5342,18.03133308,18.03133308,12.27272727
33,12.7302,18.27359522,18.27359522,12.50405506
34,12.9164,18.51653338,18.51653338,12.9164
35,13.1124,18.75924474,18.75924474,13.1124
36,13.3182,19.00082649,19.00082649,13.3182
37,13.524,19.24037583,19.24037583,13.524
38,13.7298,19.47698993,19.47698993,13.7298
39,13.9454,19.70976599,19.70976599,13.9454
40,14.161,19.9378012,19.9378012,14.161
41,14.3864,20.16019274,20.16019274,14.3864
42,14.6118,20.37603779,20.37603779,14.6118
43,14.8372,20.58443356,20.58443356,14.8372
44,15.0724,20.78447722,20.78447722,15.0724
45,15.3076,20.97526596,20.97526596,15.3076
46,15.5428,21.15589698,21.15589698,15.5428
47,15.7878,21.32546745,21.32546745,15.7878
48,16.023,21.48307457,21.48307457,16.023
49,16.2778,21.62781552,21.62781552,16.2778
50,16.5228,21.7587875,21.7587875,16.5228
51,16.7776,21.87508769,21.87508769,16.7776
52,17.0226,21.97581327,21.97581327,17.0226
53,17.2774,22.06006144,22.06006144,17.2774
54,17.542,22.12692938,22.12692938,17.542
55,17.7968,22.17551429,22.17551429,17.78722489
56,18.0614,22.20491334,22.20491334,17.78722489
57,18.3162,22.21422373,22.21422373,17.78722489
58,18.5808,22.22353412,22.22353412,17.78722489
59,18.8454,22.23284451,22.23284451,17.78722489
60,19.11,22.2421549,22.2421549,17.78722489
61,19.3746,22.25146529,22.25146529,17.78722489
62,19.6392,22.26077568,22.26077568,17.78722489
63,19.9038,22.27008607,22.27008607,17.78722489
64,20.1586,22.27939646,22.27939646,17.78722489
65,20.4232,22.28870685,22.28870685,17.78722489
72,25,22.29801724,22.29801724,17.78722489
80,26,22.30732763,22.30732763,17.78722489
90,27,22.31663802,22.31663802,17.78722489
200,28,22.32594841,22.32594841,17.78722489
