# v_mps,ax_max_mps2,ay1_max_mps2,ay2_max_mps2
10,9.751,11.367208,11.367208
11,9.8196,11.6708748,11.6708748
12,9.8882,11.9745416,11.9745416
13,9.9666,12.2782084,12.2782084
14,10.0548,12.5818752,12.5818752
15,10.143,12.885542,12.885542
16,10.241,13.1892088,13.1892088
17,10.339,13.4928756,13.4928756
18,10.4468,13.7965424,13.7965424
19,10.5644,14.1002092,14.1002092
20,10.682,14.403876,14.403876
21,10.8094,14.7075428,14.7075428
22,10.9368,15.0112096,15.0112096
23,11.074,15.3148764,15.3148764
24,11.2112,15.6185432,15.6185432
25,11.3582,15.92221,15.92221
26,11.515,16.2258768,16.2258768
27,11.6718,16.5295436,16.5295436
28,11.8384,16.8332104,16.8332104
29,12.005,17.1368772,17.1368772
30,12.1814,19.440544,19.440544
31,12.3578,19.7442108,19.7442108
32,12.5342,20.0478776,20.0478776
33,12.7302,20.3515444,20.3515444
34,12.9164,20.6552112,20.6552112
35,13.1124,20.958878,20.958878
36,13.3182,21.2625448,21.2625448
37,13.524,21.5662116,21.5662116
38,13.7298,21.8698784,21.8698784
39,13.9454,22.1735452,22.1735452
40,14.161,22.477212,22.477212
41,14.3864,22.7808788,22.7808788
42,14.6118,23.0845456,23.0845456
43,14.8372,23.3882124,23.3882124
44,15.0724,23.6918792,23.6918792
45,15.3076,23.995546,23.995546
46,15.5428,24.2992128,24.2992128
47,15.7878,24.6028796,24.6028796
48,16.023,24.9065464,24.9065464
49,16.2778,25.2102132,25.2102132
50,16.5228,25.51388,25.51388
51,16.7776,25.8175468,25.8175468
52,17.0226,26.1212136,26.1212136
53,17.2774,26.4248804,26.4248804
54,17.542,26.7285472,26.7285472
55,17.7968,27.032214,27.032214
56,18.0614,27.3358808,27.3358808
57,18.3162,27.6395476,27.6395476
58,18.5808,27.9432144,27.9432144
59,18.8454,28.2468812,28.2468812
60,19.11,28.550548,28.550548
61,19.3746,28.8542148,28.8542148
62,19.6392,29.1578816,29.1578816
63,19.9038,29.4615484,29.4615484
64,20.1586,29.7652152,29.7652152
65,20.4232,30.068882,30.068882
72,23,23,23
80,24,13.3,23
90,25,13.4,23
200,23,13,23
